Fichier;Type;Cat;Average
Q - Album - 2014;ALBUM;YEAR;5,36
Mojo - The 50 Greatest British Tracks Ever - 2006;SONG;THEME;5,36
Mojo - Album - 2016;ALBUM;YEAR;5,36
Rolling Stone - Album - 2013;ALBUM;YEAR;5,38
PopMatters - Album - 2016;ALBUM;YEAR;5,386
Spin - 100 Greatest Singles Of All Time - 1989;SONG;ALL_TIME;5,396
AllMusic - Album - 2016;ALBUM;YEAR;5,4
Rolling Stone - Album - 2011;ALBUM;YEAR;5,42
Mojo - Album - 2011;ALBUM;YEAR;5,42
NME Album Of The Year - 2015;ALBUM;YEAR;5,42
Pitchfork - The Pitchfork 500 - 1980 to 1982 - 2006;SONG;MISCELLANEOUS;5,421
Rolling Stone - Song - 1987;SONG;YEAR;5,429
MusicForAnts - Song 2000s - 2009;SONG;DECADE;5,44
Q - Album - 2011;ALBUM;YEAR;5,44
PopMatters - Album - 2003;ALBUM;YEAR;5,44
MusicForAnts - Album - 2013;ALBUM;YEAR;5,44
Pitchfork - Album - 2009;ALBUM;YEAR;5,449
Mojo - Album - 2007;ALBUM;YEAR;5,449
Spin - Song - 2005;SONG;YEAR;5,45
Q - Album - 2016;ALBUM;YEAR;5,46
PopMatters - Album - 2017;ALBUM;YEAR;5,467
Mojo - Album - 2014;ALBUM;YEAR;5,469
The Guardian - Album - 2012;ALBUM;YEAR;5,475
GorillaVsBear - Album - 2009;ALBUM;YEAR;5,48
Rolling Stone - Album - 1978;ALBUM;YEAR;5,5
The Guardian - Album - 2013;ALBUM;YEAR;5,5
Rolling Stone - Album - 2005;ALBUM;YEAR;5,5
Rolling Stone - Album - 2007;ALBUM;YEAR;5,5
Spin - Album - 2017;ALBUM;YEAR;5,52
Spin - Album - 2014;ALBUM;YEAR;5,52
Pitchfork - The Pitchfork 500 - 1977 to 1979 - 2006;SONG;MISCELLANEOUS;5,531
MusicForAnts - Album - 2017;ALBUM;YEAR;5,533
'90;SONG;DECADE;5,538
NME Album Of The Year - 2013;ALBUM;YEAR;5,54
Rolling Stone - Song - 1999;SONG;YEAR;5,545
Uncut - Ultimate Record Guide - 2017;ALBUM;ALL_TIME;5,546
Spin - Song - 2006;SONG;YEAR;5,55
Rolling Stone - Album - 1990;ALBUM;YEAR;5,556
NME - Top Singles Of All-Time (1976);SONG;ALL_TIME;5,568
Spin - Album - 1999;ALBUM;YEAR;5,591
MusicForAnts - Album - 2011;ALBUM;YEAR;5,6
Pitchfork - Album - 2013;ALBUM;YEAR;5,6
The Guardian - A HISTORY OF MODERN MUSIC HIP HOP & R'N'B - 2011;SONG;ALL_TIME;5,61
Spin - Album - 2013;ALBUM;YEAR;5,62
NME - Album - 2002;ALBUM;YEAR;5,625
Q - Album - 2002;ALBUM;YEAR;5,625
Rolling Stone - Album - 2010;ALBUM;YEAR;5,633
The Guardian - Song - 2012;SONG;YEAR;5,65
PopMatters - Album - 2008;ALBUM;YEAR;5,661
Le Choix - Indispensables 00s - 2010;SONG;DECADE;5,665
Pitchfork - The Pitchfork 500 - 2003 to 2006 - 2006;SONG;MISCELLANEOUS;5,667
The Guardian - A HISTORY OF MODERN MUSIC POP - 2011;SONG;ALL_TIME;5,67
Pitchfork - Album - 2010;ALBUM;YEAR;5,673
NME - Album - 2017;ALBUM;YEAR;5,68
The Guardian - Album - 2006;ALBUM;YEAR;5,68
Spin - Twenty Greatest Punk Songs Ever - 2009;SONG;GENRE;5,684
Q - Album - 1997;ALBUM;YEAR;5,7
Pitchfork - Album - 2014;ALBUM;YEAR;5,7
Rolling Stone - Song - 2001;SONG;YEAR;5,7
NME - Album - 2009;ALBUM;YEAR;5,708
PopMatters - Album - 2005;ALBUM;YEAR;5,745
Uncut - Album - 2011;ALBUM;YEAR;5,76
NME - Album - 2016;ALBUM;YEAR;5,8
Rolling Stone - Song - 1993;SONG;YEAR;5,818
Pitchfork - Album - 2015;ALBUM;YEAR;5,82
Q - 20 Greatest Live Albums - 2006;ALBUM;ALL_TIME;5,85
Q - Album - 1995;ALBUM;YEAR;5,86
Pitchfork - The 200 Best Songs of the 1980s - 2005;SONG;DECADE;5,875
The Guardian - Album - 2017;ALBUM;YEAR;5,88
MusicForAnts - 10's Decade Song So Far - 2014;SONG;DECADE;5,889
2008 + Divers;ALBUM;MISCELLANEOUS;5,895
Rock and Roll Hall of Fame - 500 Songs That Shaped Rock - 2004;SONG;ALL_TIME;5,898
Mojo - Album - 2001;ALBUM;YEAR;5,95
NME - Classic Singles;SONG;ALL_TIME;5,964
Q - Album - 2007;ALBUM;YEAR;6
Rolling Stone - Album - 1984;ALBUM;YEAR;6
Le Choix - Songs - 2007;SONG;YEAR;6
Rolling Stone - Song - 1992;SONG;YEAR;6
Rolling Stone - The 100 Greatest Albums Of The 80s - 1990;ALBUM;DECADE;6,008
NME - Album - 2004;ALBUM;YEAR;6,021
Le Choix - Songs - 2002;SONG;YEAR;6,03
The Guardian - A HISTORY OF MODERN MUSIC ROCK - 2011;SONG;ALL_TIME;6,04
Pitchfork - Album - 2011;ALBUM;YEAR;6,04
Rolling Stone - Album - 2016;ALBUM;YEAR;6,04
Q - Album - 2008;ALBUM;YEAR;6,041
Pitchfork - Album - 2017;ALBUM;YEAR;6,06
The World Critic Lists Greatest Rock Albums - 1978;ALBUM;ALL_TIME;6,091
Le Choix - Album - 2009;ALBUM;YEAR;6,095
Pitchfork - Album - 2007;ALBUM;YEAR;6,1
Rolling Stone - Song - 1980;SONG;YEAR;6,111
The Guardian - Album - 2014;ALBUM;YEAR;6,125
Mojo - Album - 2000;ALBUM;YEAR;6,125
Pitchfork - The Pitchfork 500 - 1987 to 1990 - 2006;SONG;MISCELLANEOUS;6,16
Rolling Stone - Song - 1977;SONG;YEAR;6,167
Q - Album - 2001;ALBUM;YEAR;6,2
Mojo - Song - 2014;SONG;YEAR;6,2
Q - Album - 1994;ALBUM;YEAR;6,22
Pitchfork - Album - 2004;ALBUM;YEAR;6,22
The Guardian - Album - 2011;ALBUM;YEAR;6,24
Spin - Song - 2004;SONG;YEAR;6,3
Le Choix - Songs - 2004;SONG;YEAR;6,3
Classic Rock Magazine - Best Songs Ever - 1999;SONG;ALL_TIME;6,36
Rolling Stone - 100 Greatest Guitar Songs Of All Time - 2008;SONG;ALL_TIME;6,37
Q - Album - 2004;ALBUM;YEAR;6,38
Paste - Album - 2016;ALBUM;YEAR;6,38
Spin - Album - 2008;ALBUM;YEAR;6,425
Mojo - Album - 1997;ALBUM;YEAR;6,425
Pitchfork - Album - 2016;ALBUM;YEAR;6,46
MusicForAnts - Album - 2016;ALBUM;YEAR;6,48
Mojo - The 50 Greatest Island Records - 2009;ALBUM;THEME;6,486
The Guardian - Album - 2015;ALBUM;YEAR;6,525
Mojo - Album - 2002;ALBUM;YEAR;6,525
Spin - Album - 1994;ALBUM;YEAR;6,55
Rolling Stone - Song - 1995;SONG;YEAR;6,556
Spin - Album - 2003;ALBUM;YEAR;6,575
Rolling Stone - Album - 1999;ALBUM;YEAR;6,583
MusicForAnts - Album - 2009;ALBUM;YEAR;6,6
Mojo - Album - 2004;ALBUM;YEAR;6,6
Mojo - Special Punk Issue - 77 Punk Smashers! - 2005;ALBUM;GENRE;6,623
Spin - Album - 2010;ALBUM;YEAR;6,625
Spin - Album - 2016;ALBUM;YEAR;6,64
MusicForAnts - Album - 2015;ALBUM;YEAR;6,68
Le Choix - Songs - 2003;SONG;YEAR;6,72
NME Greatest No1 Singles In History;SONG;ALL_TIME;6,727
The Guardian - Album - 2010;ALBUM;YEAR;6,75
Le Choix - Songs - 2006;SONG;YEAR;6,75
GorillaVsBear - Album - 2007;ALBUM;YEAR;6,765
Le Choix - Songs - 2000;SONG;YEAR;6,778
Spin - Song - 2002;SONG;YEAR;6,8
Q - 50 Heaviest Albums Of All Time - 2001;ALBUM;GENRE;6,86
NME - Classic Albums;ALBUM;ALL_TIME;6,872
GorillaVsBear - Songs Of The Decade 00's - 2009;SONG;DECADE;6,875
Rolling Stone - Album - 1986;ALBUM;YEAR;6,889
Spin - Album - 2005;ALBUM;YEAR;6,9
Spin - Album - 2004;ALBUM;YEAR;6,95
Rolling Stone - Album - 1996;ALBUM;YEAR;7
Spin - Album - 2007;ALBUM;YEAR;7
NME - The 60's;SONG;DECADE;7
Rolling Stone - Song - 2000;SONG;YEAR;7
NME 500 Greatest Songs Of All Time;SONG;ALL_TIME;7,01
NME - Readers Top 150 Tracks - 2011;SONG;ALL_TIME;7,013
Classic Rock Magazine - 100 Greatest Rock Albums Ever - 2001;ALBUM;ALL_TIME;7,02
Pitchfork - Song - 2003;SONG;YEAR;7,04
Mojo - Album - 1995;ALBUM;YEAR;7,057
Rolling Stone - Song - 2002;SONG;YEAR;7,059
NME - The 80's;SONG;DECADE;7,103
Mojo - Readership Top 100 Tracks Of The '90's - 1999;SONG;DECADE;7,11
Rolling Stone - Song - 1990;SONG;YEAR;7,125
NME Writers All Time Top 150 Singles 1987;SONG;ALL_TIME;7,157
MusicForAnts - Album - 2010;ALBUM;YEAR;7,16
Rolling Stone - Album - 1987;ALBUM;YEAR;7,188
Pitchfork - Album - 2001;ALBUM;YEAR;7,2
1001 Albums You Must Hear - 2008;ALBUM;ALL_TIME;7,211
Rolling Stone - Song - 1994;SONG;YEAR;7,222
GorillaVsBear - Album - 2006;ALBUM;YEAR;7,231
Rolling Stone - 500 Best Songs - 2010;SONG;ALL_TIME;7,254
Le Choix - Les Meilleurs Riffs de Guitare Electrique de l'Histoire - 2009;SONG;THEME;7,271
Rolling Stone - Album - 2003;ALBUM;YEAR;7,294
Q - 50 Ultimate British Songs - 2011;SONG;THEME;7,32
Inrock - Best 100 Albums From The Last Decade (1986 - 1996) - 1995;ALBUM;DECADE;7,363
Rolling Stone - Song - 1986;SONG;YEAR;7,375
Spin - Album - 1996;ALBUM;YEAR;7,45
Spin - Album - 1998;ALBUM;YEAR;7,45
Mojo - 80 From The 80s - Songs - 2007;SONG;DECADE;7,48
Mojo - The 20 Greatest Guitar Albums Ever - 2003;ALBUM;THEME;7,5
Rolling Stone - Essential Recordings Of The 90s - 1999;ALBUM;DECADE;7,56
Q - The Greatest Classic Rock Albums Ever - 2004;ALBUM;GENRE;7,6
Pitchfork - The 100 Best Albums of the Decade So Far - 2014;ALBUM;DECADE;7,61
MusicForAnts - Album - 2007;ALBUM;YEAR;7,68
NME - Tracks Of The Decade (2000-2009) - 2009;SONG;DECADE;7,71
Rolling Stone - Album - 1989;ALBUM;YEAR;7,714
Q - The Music That Changed The World - Song (1954-1969) - 2004;SONG;MISCELLANEOUS;7,75
Le Choix - Rap - 2009;SONG;GENRE;7,767
NME - 75 Tunes That Defined Rock Roll;SONG;GENRE;7,789
Rolling Stone - Song - 2004;SONG;YEAR;7,8
Mojo - 80 From The 80s - Albums - 2007;ALBUM;DECADE;7,811
NME - The 90's;SONG;DECADE;7,827
The Guardian - Album - 2016;ALBUM;YEAR;7,875
Rolling Stone - Album - 1977;ALBUM;YEAR;7,889
Spin - Album - 1993;ALBUM;YEAR;7,95
Spin - Top 20 Singles Of The 90's - 1999;SONG;DECADE;7,952
Uncut - The 100 Greatest Singles Of The Post 1976 - 2001;SONG;MISCELLANEOUS;7,956
Q - 50 Indie Rock Records You Must Own - Song - 2015;SONG;ALL_TIME;8
Q - 100 Greatest Albums Of The 00's - 2009;ALBUM;DECADE;8,03
The Guardian - The 75 Best Singles of the 2000s - 2010;SONG;DECADE;8,04
Pitchfork - Top 100 Singles of 2000–2004;SONG;MISCELLANEOUS;8,15
Pitchfork - Albums 80's - 2002;ALBUM;DECADE;8,157
Mojo - Album - 1994;ALBUM;YEAR;8,16
Mojo - Top 50 Punk Albums - 2003;ALBUM;GENRE;8,2
Pitchfork - Album - 1999;ALBUM;YEAR;8,2
Spin - Album - 1995;ALBUM;YEAR;8,2
Uncut - The 150 Greatest Albums Of The 21st Century So Far - 2009;ALBUM;ALL_TIME;8,236
Q - 100 Greatest Guitar Tracks Ever! - 2005;SONG;THEME;8,33
Spin - Album - 1991;ALBUM;YEAR;8,35
Rolling Stone - Album - 2009;ALBUM;YEAR;8,36
Rolling Stone - Song - 1997;SONG;YEAR;8,375
Q - The 25 Best Dance Albums Ever - 1997;ALBUM;GENRE;8,382
Le Choix - Indispensables 80s - 2010;SONG;DECADE;8,476
Pitchfork - Top 100 Albums of 2000–2004;ALBUM;MISCELLANEOUS;8,48
Spin - Album - 2001;ALBUM;YEAR;8,5
The Guardian - Alternative Top 100 Albums Ever - 1999;ALBUM;ALL_TIME;8,51
NME Albums Of The Decade So Far(2010s) 2015;ALBUM;DECADE;8,524
Rolling Stone - Song - 1984;SONG;YEAR;8,571
Spin - The 25 Greatest Albums Of All Time - 1989;ALBUM;ALL_TIME;8,579
Rolling Stone - Album - 1998;ALBUM;YEAR;8,667
Pitchfork - Top 200 Albums of the 2000s - 2009;ALBUM;DECADE;8,709
Rolling Stone - Song - 1996;SONG;YEAR;8,714
Le Choix - Indispensables 70s - 2010;SONG;DECADE;8,737
NME - The 70's;SONG;DECADE;8,744
Spin - Song - 2003;SONG;YEAR;8,81
Rolling Stone - Songs Of The Decade (2000-2009) - 2009;SONG;DECADE;8,85
Rolling Stone - Album - 1983;ALBUM;YEAR;8,857
Spin - The 20 Greatest Grunge Albums of All Time - 2004;ALBUM;GENRE;8,9
La discothèque idéale 2 - Philippe Manoeuvre - 2011;ALBUM;ALL_TIME;8,906
Rolling Stone - Album - 1980;ALBUM;YEAR;9
Rolling Stone - Song - 1982;SONG;YEAR;9
Rolling Stones - 100 Greatest Pop Songs - 2000;SONG;ALL_TIME;9,07
The Guardian - Writers Favourite Albums Ever - 2013;ALBUM;ALL_TIME;9,098
NME - The 00's;SONG;DECADE;9,135
Spin - The 50 Most Essential Punk Records - 2001;ALBUM;GENRE;9,327
Q - 100 Songs That Changed The World - 2003;SONG;ALL_TIME;9,34
Mojo - Song - 2003;SONG;YEAR;9,4
Mojo - The 100 Greatest Singles Of All Time - 1997;SONG;ALL_TIME;9,463
Rolling Stone - The 100 Best Singles Of The Last 25 Years - 1989;SONG;MISCELLANEOUS;9,5
NME - Album - Top 100 - 2000's-2009;ALBUM;DECADE;9,541
Rolling Stone - 500 Albums - 2010;ALBUM;ALL_TIME;9,548
Rolling Stone - Song - 1991;SONG;YEAR;9,625
Q - The Music That Changed The World - Song - 70s - 2004;SONG;DECADE;9,65
Spin - Top 100 Alternative Albums - 1995;ALBUM;GENRE;9,677
Q - In Our Lifetime 100 Best Albums (1986-1994) - 1995;ALBUM;MISCELLANEOUS;9,908
NME - Greatest Indie Anthem (2007);SONG;ALL_TIME;9,929
Q - The Story Of Grunge - Albums - 2005;ALBUM;GENRE;9,933
The Guardian - Album - 2007;ALBUM;YEAR;9,95
Pitchfork - Albums 70's - 2004;ALBUM;DECADE;9,98
Rolling Stone - Album - 1979;ALBUM;YEAR;10
Rolling Stone - Album - 2001;ALBUM;YEAR;10
Rolling Stone - Album - 2002;ALBUM;YEAR;10
Q - The 50 Most Exciting Tunes Ever.. - 2002;SONG;ALL_TIME;10,08
Rolling Stone - Song - 1983;SONG;YEAR;10,143
Spin - Album - 1997;ALBUM;YEAR;10,15
Rolling Stone - Top 100 Albums Of The Last 20 Years - 1987;ALBUM;DECADE;10,164
Rolling Stone 200 The Essential Rock Collection;ALBUM;ALL_TIME;10,262
NME The 500 Greatest Albums Of All Time October 2013;ALBUM;ALL_TIME;10,298
Mojo - 70 from the 1970s Decade’s Greatest Albums - 2006;ALBUM;DECADE;10,457
Q - The Greatest Albums Of The Last 30 Years - 2016;ALBUM;MISCELLANEOUS;10,502
Spin - Album - 2002;ALBUM;YEAR;10,6
Q - 50 Years of Great British Music - Song - 2008;SONG;THEME;10,617
Rolling Stone - Readers Top 100 Albums - 2002;ALBUM;ALL_TIME;10,625
Q - Debut Albums That Changed Music - 2017;ALBUM;THEME;10,637
The Times Magazine 100 Best Albums Of All Time - 1993;ALBUM;ALL_TIME;10,694
Rolling Stone - Album - 1994;ALBUM;YEAR;10,714
Le Choix - Indispensables 90s - 2010;SONG;DECADE;10,727
Spin - Album - 2000;ALBUM;YEAR;10,842
MusicForAnts - 10's Decade Album So Far - 2014;ALBUM;DECADE;10,85
Rolling Stone - Album - 1995;ALBUM;YEAR;10,857
Rolling Stone - Top 100 Albums Compiled - 1997;ALBUM;ALL_TIME;10,859
Mojo - Readers All Time To 100 Singles - 1997;SONG;ALL_TIME;10,924
PopMatters - 100 Best Songs From 1977-2003 - 2003;SONG;MISCELLANEOUS;11,01
Uncut - 200 Greatest Albums Of All Time - 2016;ALBUM;ALL_TIME;11,03
MusicForAnts - Album 2000s - 2009;ALBUM;DECADE;11,04
Mojo - 100 Records That Changed the World - Songs - 2007;SONG;ALL_TIME;11,057
Rolling Stone - Song - 2003;SONG;YEAR;11,176
Pitchfork - Albums 90's - 2003;ALBUM;DECADE;11,2
NME - The Greatest Tracks Of The Decade 1996 - 2006;SONG;DECADE;11,2
NME - Greatest Singles Ever (2002);SONG;ALL_TIME;11,238
PopMatters - The 100 Best Albums of the 2000s - 2014;ALBUM;DECADE;11,26
Q - Readers Top 100 Singles Of All Time - 1999;SONG;ALL_TIME;11,3
Rolling Stone - Album - 2004;ALBUM;YEAR;11,357
The World Critic Lists Greatest Rock Albums - 1987;ALBUM;ALL_TIME;11,455
Q - Best Tracks Of The 80's - 2006;SONG;DECADE;11,65
Pitchfork - The People's List - Top Albums 1996-2011;ALBUM;MISCELLANEOUS;11,665
Q - 50 Indie Rock Records You Must Own - Album - 2015;ALBUM;ALL_TIME;11,667
Spin - 100 Greatest Albums (1985-2005) - 2005;ALBUM;ALL_TIME;11,731
Q - 100 Greatest Songs Of All Time - 2006;SONG;ALL_TIME;11,79
Spin - The 300 Best Albums of the Past 30 Years - 2015;ALBUM;MISCELLANEOUS;11,896
La discothèque idéale - Philippe Manoeuvre - 2005;ALBUM;ALL_TIME;12,277
Q - 50 Greatest British Tracks - 2004;SONG;ALL_TIME;12,4
Q - Ultimate Music Collection - Album - 2016;ALBUM;ALL_TIME;12,426
Spin - 15 Most Influential Albums Not By Beatles, Stones, Dylan or Elvis - 2003;ALBUM;THEME;12,467
Q - 250 best albums of Q's lifetime - 2011;ALBUM;MISCELLANEOUS;12,596
Rolling Stone - Albums Of The Decade (2000-2009) - 2009;ALBUM;DECADE;12,607
Q - The 100 Greatest British Albums Ever - 2000;ALBUM;ALL_TIME;12,616
Le Choix - 60's Album - 2008;ALBUM;DECADE;13,04
The Times Best Album Of The Decade - 2000 - 2009;ALBUM;DECADE;13,118
Rolling Stone - Album - 2000;ALBUM;YEAR;13,182
Spin - Top 90 Albums Of The 90's - 1999;ALBUM;DECADE;13,189
Classic Rock Magazine - 10 Songs That Changed The Face Of Rock - 2000;SONG;ALL_TIME;13,2
Q - Best Albums Of The 80's - 2006;ALBUM;DECADE;13,25
Mojo - 100 Records That Changed the World - Albums - 2007;ALBUM;ALL_TIME;13,277
NMEs 100 Greatest Songs Of NMEs Lifetime....So Far (2012);SONG;ALL_TIME;13,318
NME - single of the year 1975-2009;SONG;MISCELLANEOUS;13,412
Spin - Readers 25th Anniversary Songs - 2010;SONG;MISCELLANEOUS;13,44
Q - 50 Best Albums Of The 70s - 1998;ALBUM;DECADE;13,58
GorillaVsBear - Albums Of The Decade 00's - 2009;ALBUM;DECADE;13,6
Classic Rock Magazine - 30 Best Albums of the 90s - 2000;ALBUM;DECADE;13,7
Rolling Stone - Album - 1997;ALBUM;YEAR;13,833
Mojo - The 100 Greatest Albums of Our Lifetime 1993-2006 - 2006;ALBUM;MISCELLANEOUS;14,04
Q - The Music That Changed The World - Album (1954-1969) - 2004;ALBUM;MISCELLANEOUS;14,05
Q - 90 Of The 90s - 1999;ALBUM;DECADE;14,101
Q - 100 Best Albums Of The 90s - 2015;ALBUM;DECADE;14,17
Rolling Stone - Album - 1991;ALBUM;YEAR;14,25
The Guardian - The 50 Best Albums of the 2000s  - 2010;ALBUM;DECADE;14,46
Rolling Stone - Album - 1993;ALBUM;YEAR;14,545
Spin - Top Ten College Cult Classic Albums - 1990;ALBUM;THEME;14,7
Mojo - THE 100 GREATEST ALBUMS EVER MADE - 1995;ALBUM;ALL_TIME;14,747
NME - 100 Best Albums;ALBUM;ALL_TIME;14,877
Mojo - 20 Albums That Shook The Last 20 Years - 2013;ALBUM;MISCELLANEOUS;14,9
Rolling Stone - Album - 1992;ALBUM;YEAR;15,111
Le Choix - 80's Album - 2010;ALBUM;DECADE;15,36
The Guardian - 100 Best Albums Ever - 1997;ALBUM;ALL_TIME;15,747
Q - Top 20 Singles Of The Lifetime Of Q Magazine - 2006;SONG;MISCELLANEOUS;15,85
Q - 50 Best British Albums Ever - 2004;ALBUM;THEME;15,98
Spin - 50 Greatest Bands Of All Time - 2002;ALBUM;ALL_TIME;15,981
Mojo - READERS THE 100 GREATEST ALBUMS EVER MADE - 1996;ALBUM;ALL_TIME;16
Q - Readers All Time Top 100 Albums - 1998;ALBUM;ALL_TIME;16,5
AllMusic - 00's Best Albums - 2009;ALBUM;DECADE;16,6
Q - The Music That Changed The World - Song (1980-2004) - 2004;SONG;MISCELLANEOUS;16,65
Q - 50 Years of Great British Music - Album - 2008;ALBUM;THEME;16,68
Q - The Music That Changed The World - Album - 70s - 2004;ALBUM;DECADE;16,95
Q - Readers Best British Albums - 2008;ALBUM;THEME;17
Spin - 125 Best Albums of the Past 25 Years - 2010;ALBUM;MISCELLANEOUS;17,424
The Guardian - Album Of The Millennium - 1997;ALBUM;ALL_TIME;17,889
Q - Readers 100 Greatest Albums Ever - 2003;ALBUM;ALL_TIME;18,9
Q - Readers Best Albums Ever - 2006;ALBUM;ALL_TIME;19,19
Q - In Our Lifetime #2 (1986-2001) - 2001;ALBUM;MISCELLANEOUS;20,14
Q - 21 Albums That Changed Music - 2007;ALBUM;ALL_TIME;22,381
Spin - Readers 25th Anniversary Albums - 2010;ALBUM;MISCELLANEOUS;22,4
Q - The Music That Changed The World - Album (1980-2004) - 2004;ALBUM;MISCELLANEOUS;26,3
Q - Top 20 Albums Of The Lifetime Of Q Magazine - 2006;ALBUM;MISCELLANEOUS;26,8
