Fichier;Type;Cat;Average
Fluxblog - 1983 Songs - 2016;SONG;YEAR;2,283
Inrock - Song - 2016;SONG;YEAR;2,29
Rolling Stone - Song - 2011;SONG;YEAR;2,3
Q - Album - 1988;ALBUM;YEAR;2,32
MusicForAnts - Song - 2011;SONG;YEAR;2,32
GorillaVsBear - Song - 2012;SONG;YEAR;2,32
Inrock - Song - 2015;SONG;YEAR;2,321
Fluxblog - 1982 Songs - 2016;SONG;YEAR;2,339
NME - Songs - 1992;SONG;YEAR;2,348
truc;SONG;MISCELLANEOUS;2,349
Rolling Stone - Song - 2007;SONG;YEAR;2,36
Q - Queen The Inside Story - 2005;SONG;THEME;2,367
The Word - 110 Songs You Have to Hear! - 2004;SONG;ALL_TIME;2,37
NME - The Top 40 Post-Beatles Songs - 2015;SONG;THEME;2,375
Inrock - Song - 2017;SONG;YEAR;2,39
Q - Ozzy Osbourne The Real Story - 2005;SONG;THEME;2,4
Le Choix - Album - 2011;ALBUM;YEAR;2,4
Le Choix - Reggae - 2008;SONG;GENRE;2,4
Inrock - Psyche;SONG;GENRE;2,407
Fluxblog - 1988 Songs - 2015;SONG;YEAR;2,408
MusicForAnts - Song - 2009;SONG;YEAR;2,412
Le Choix - Album - 2014;ALBUM;YEAR;2,412
Q - Song - 2006;SONG;YEAR;2,42
Mojo - 50 Greatest Reggae Albums Of All Time - 2002;ALBUM;GENRE;2,42
Rolling Stone - Album - 1981;ALBUM;YEAR;2,429
NME - Songs - 2008;SONG;YEAR;2,433
Fluxblog - 2003;SONG;YEAR;2,441
Fluxblog - 1980 Songs - 2016;SONG;YEAR;2,462
Fluxblog - 16 Years Of Unpopular Pop (2002-2018) - 2018;SONG;MISCELLANEOUS;2,472
Mojo - 100 Greatest Psychedelic Classics - 1997;SONG;GENRE;2,491
Rolling Stone - Song - 2006;SONG;YEAR;2,5
SaidTheGramaphone - Song - 2006;SONG;YEAR;2,509
NME - Songs - 2014;SONG;YEAR;2,52
PopMatters - Song - 2017;SONG;YEAR;2,529
MusicForAnts - Song - 2010;SONG;YEAR;2,54
Rolling Stone - Song - 2010;SONG;YEAR;2,54
GorillaVsBear - Album - 2011;ALBUM;YEAR;2,552
Mojo - The 100 Greatest Bob Dylan Songs - 2005;SONG;THEME;2,57
GorillaVsBear - Song - 2008;SONG;YEAR;2,58
Q - Neil Young - 2005;SONG;THEME;2,583
NME - The 25 Greatest Alterative Love Songs;SONG;THEME;2,588
NME - Songs - 2013;SONG;YEAR;2,59
MusicForAnts - Song - 2016;SONG;YEAR;2,6
GorillaVsBear - Song - 2007;SONG;YEAR;2,6
NME - Songs - 1986;SONG;YEAR;2,603
PopMatters - Song - 2016;SONG;YEAR;2,625
Spin - Song - 2014;SONG;YEAR;2,644
NME - Songs - 1983;SONG;YEAR;2,651
NME - Songs - 1997;SONG;YEAR;2,659
MusicForAnts - Song - 2007;SONG;YEAR;2,66
Inrock - Britpop;SONG;GENRE;2,667
Q - Song - 2005;SONG;YEAR;2,673
NME - Songs - 1998;SONG;YEAR;2,674
MusicForAnts - Song - 2015;SONG;YEAR;2,68
Paste - Song - 2014;SONG;YEAR;2,68
PopMatters - Song - 2011;SONG;YEAR;2,685
MusicForAnts - Song - 2005;SONG;YEAR;2,692
PopMatters - Song - 2012;SONG;YEAR;2,72
NME - Songs - 2011;SONG;YEAR;2,722
NME - Songs - 1980;SONG;YEAR;2,737
Pitchfork - Song - 2009;SONG;YEAR;2,737
Paste - Song - 2015;SONG;YEAR;2,74
Q - 25 Years Of 2 Tone - 2004;SONG;GENRE;2,767
NME - Songs - 2009;SONG;YEAR;2,769
SaidTheGramaphone - Song - 2007;SONG;YEAR;2,78
Rolling Stone - Song - 2016;SONG;YEAR;2,78
Pitchfork - Song - 2015;SONG;YEAR;2,8
Mojo - The Smiths' 50 Greatest Songs - 2016;SONG;THEME;2,8
NME - Songs - 1985;SONG;YEAR;2,809
MusicForAnts - Song - 2014;SONG;YEAR;2,82
Mojo - The 50 Greatest Neil Young Songs - 2011;SONG;THEME;2,82
Inrock - Song - 2013;SONG;YEAR;2,82
Q - Guilty Pleasures! - Songs - 2006;SONG;THEME;2,821
Mojo - The 50 Greatest Songs Of The Who - 2015;SONG;THEME;2,84
The Guardian - Song - 2017;SONG;YEAR;2,85
PopMatters - Song - 2014;SONG;YEAR;2,853
NME - The 100 Greatest Britpop Songs;SONG;ALL_TIME;2,857
Pitchfork - Song - 2008;SONG;YEAR;2,859
MusicForAnts - Song - 2013;SONG;YEAR;2,86
Mojo - The Indie Top 50 - 2008;ALBUM;GENRE;2,86
NME - Songs - 2006;SONG;YEAR;2,875
PopMatters - Song - 2013;SONG;YEAR;2,893
MusicForAnts - Song - 2006;SONG;YEAR;2,9
GorillaVsBear - Song - 2006;SONG;YEAR;2,9
Pitchfork - Song - 2013;SONG;YEAR;2,911
Q - Album - 2006;ALBUM;YEAR;2,92
Pitchfork - Song - 2010;SONG;YEAR;2,92
NME - Songs - 2007;SONG;YEAR;2,923
GorillaVsBear - Album - 2017;ALBUM;YEAR;2,932
NME - Songs - 1993;SONG;YEAR;2,933
NME - Songs - 2016;SONG;YEAR;2,94
Spin - Song - 2017;SONG;YEAR;2,941
NME - Songs - 1975;SONG;YEAR;2,941
Q - Led Zeppelin - 2003;SONG;THEME;2,949
GorillaVsBear - Album - 2008;ALBUM;YEAR;2,95
Q - Guilty Pleasures! - Albums - 2006;ALBUM;THEME;2,958
Pitchfork - Song - 2014;SONG;YEAR;2,98
Pitchfork - Song - 2006;SONG;YEAR;2,99
PopMatters - Song - 2008;SONG;YEAR;3
GorillaVsBear - Album - 2015;ALBUM;YEAR;3
PopMatters - Song - 2010;SONG;YEAR;3,033
Inrock - New Wave;SONG;GENRE;3,042
NME - Songs - 1990;SONG;YEAR;3,043
Mojo - The 70 Best Soul Albums Of The 70’s - 2010;ALBUM;GENRE;3,043
GorillaVsBear - Album - 2016;ALBUM;YEAR;3,05
Rolling Stone - Song - 2014;SONG;YEAR;3,06
NME - Songs - 1979;SONG;YEAR;3,067
Mojo - 50 Greatest U.S. Punk Tracks Young, Loud And Snotty - 2005;SONG;GENRE;3,072
Rolling Stone - Song - 2012;SONG;YEAR;3,08
Rolling Stone - Song - 2013;SONG;YEAR;3,08
Pitchfork - Song - 2011;SONG;YEAR;3,09
Pitchfork - Song - 2016;SONG;YEAR;3,09
Pitchfork - Song - 2012;SONG;YEAR;3,101
Inrock - Reggae;SONG;GENRE;3,103
Rolling Stone - Song - 2017;SONG;YEAR;3,12
NME - Songs - 1984;SONG;YEAR;3,122
NME - Songs - 1999;SONG;YEAR;3,171
SaidTheGramaphone - Song - 2005;SONG;YEAR;3,182
Q - Song - 2011;SONG;YEAR;3,2
Q - The 20 Greatest Guitar Tracks - 2007;SONG;THEME;3,2
The Guardian - Song - 2011;SONG;YEAR;3,2
PopMatters - Song - 2009;SONG;YEAR;3,2
NME - Songs - 2002;SONG;YEAR;3,206
Q - Song - 2004;SONG;YEAR;3,23
Q - Album - 1989;ALBUM;YEAR;3,24
Mojo - The 50 Greatest Rolling Stones Tracks - 2007;SONG;THEME;3,24
Rolling Stone - Song - 2015;SONG;YEAR;3,24
Inrock - Album - 2016;ALBUM;YEAR;3,25
top_300_songs;SONG;ALL_TIME;3,255
Q - Album - 1990;ALBUM;YEAR;3,26
Paste - Song - 2016;SONG;YEAR;3,26
NME - Songs - 1988;SONG;YEAR;3,277
Q - Pink Floyd The Whole Crazy Trip - 2004;SONG;THEME;3,28
Mojo - The 50 Greatest Led Zeppelin Songs - 2014;SONG;THEME;3,28
Spin - Song - 2010;SONG;YEAR;3,3
MusicForAnts - Song - 2012;SONG;YEAR;3,3
GorillaVsBear - Song - 2011;SONG;YEAR;3,3
NME - Songs - 1981;SONG;YEAR;3,306
Pitchfork - Song - 2007;SONG;YEAR;3,31
Q - Album - 1986;ALBUM;YEAR;3,32
Paste - Song - 2013;SONG;YEAR;3,32
Le Choix - Album - 2013;ALBUM;YEAR;3,333
Mojo - Special Edition - Bowie - 2003;SONG;THEME;3,333
NME - Songs - 1977;SONG;YEAR;3,357
Paste - Song - 2012;SONG;YEAR;3,36
Inrock - Album - 2014;ALBUM;YEAR;3,37
NME - 50 Top Cover;SONG;ALL_TIME;3,371
GorillaVsBear - Album - 2014;ALBUM;YEAR;3,371
GorillaVsBear - Album - 2012;ALBUM;YEAR;3,38
Inrock - Album - 2015;ALBUM;YEAR;3,38
NME - Songs - 2001;SONG;YEAR;3,385
NME - Songs - 1987;SONG;YEAR;3,4
Rolling Stone - Album - 1985;ALBUM;YEAR;3,4
Le Choix - Songs - 2008;SONG;YEAR;3,435
Spin - Song - 2013;SONG;YEAR;3,44
Inrock - Album - 2017;ALBUM;YEAR;3,44
AllMusic - Album - 2011;ALBUM;YEAR;3,44
Pitchfork - The Pitchfork 500 - 1997 to 1999 - 2006;SONG;MISCELLANEOUS;3,448
NME - Songs - 1989;SONG;YEAR;3,449
Pitchfork - Song - 2017;SONG;YEAR;3,47
Le Choix - Grunge - 2008;SONG;GENRE;3,474
Spin - Song - 2007;SONG;YEAR;3,5
Inrock - Electro;SONG;GENRE;3,5
Mojo - Album - 1999;ALBUM;YEAR;3,5
NME - Songs - 2015;SONG;YEAR;3,5
NME - Songs - 1976;SONG;YEAR;3,529
Le Choix - Album - 2010;ALBUM;YEAR;3,533
Mojo - The Ultimate CD Buyers Guide - 2001;ALBUM;ALL_TIME;3,539
NME - Songs - 2012;SONG;YEAR;3,54
Inrock - 1000 morceaux indispensables - 2015;SONG;ALL_TIME;3,551
NME - Songs - 1994;SONG;YEAR;3,568
Spin - Song - 1995;SONG;YEAR;3,591
Spin - Song - 1996;SONG;YEAR;3,633
NME - Songs - 1978;SONG;YEAR;3,644
NME Writers 100 Best Indie Singles Ever 1992;SONG;ALL_TIME;3,644
Inrock - Hip Hop;SONG;GENRE;3,655
